,class,layer,correlation,pvalue
0,schooner,layer1.0,0.4464144447422927,0.08303388763438466
1,schooner,layer1.1,0.4584559509954509,0.07409687812647323
2,schooner,layer1.2,-0.18793593972590888,0.4857938850073099
3,schooner,layer2.0,0.24324181791126853,0.1797615854087899
4,schooner,layer2.1,0.3189851894058826,0.07516166040653516
5,schooner,layer2.2,0.23324480606209053,0.1988818756440485
6,schooner,layer2.3,-0.12837467939638125,0.5233830675778011
7,schooner,layer3.0,0.055589666386814236,0.8379796845466532
8,schooner,layer3.1,0.6279071425610194,0.009204014431030543
9,schooner,layer3.2,0.30705322873542706,0.24735427849421082
10,schooner,layer3.3,0.3095061272543128,0.24340314401756188
11,schooner,layer3.4,0.43524299145137746,0.09199487424149391
12,schooner,layer3.5,0.4274054732879438,0.09867941354849422
13,schooner,layer4.0,0.6093115001390346,0.01222654769229464
14,schooner,layer4.1,0.5769013139614263,0.019303478822315912
15,schooner,layer4.2,0.36407282184728257,0.16565812529123317
16,brain_coral,layer1.0,0.6742529568831207,0.004176600712082624
17,brain_coral,layer1.1,0.47546492756792713,0.06269059175982125
18,brain_coral,layer1.2,0.0481329322884516,0.8594963196331613
19,brain_coral,layer2.0,0.3714073527051754,0.15666251424767924
20,brain_coral,layer2.1,0.15035521186416323,0.5783401801196022
21,brain_coral,layer2.2,-0.05860053120537108,0.8293213086420492
22,brain_coral,layer2.3,0.04290639352898923,0.87463398416052
23,brain_coral,layer3.0,0.429439751565359,0.0969123277144492
24,brain_coral,layer3.1,0.5119236975375082,0.04264810867435394
25,brain_coral,layer3.2,0.5377668961043686,0.031670017585067635
26,brain_coral,layer3.3,0.429439751565359,0.0969123277144492
27,brain_coral,layer3.4,0.46560161205969086,0.06913539255809768
28,brain_coral,layer3.5,0.4211666034398863,0.1042409846683101
29,brain_coral,layer4.0,0.616975666011018,0.010898664337187364
30,brain_coral,layer4.1,0.5701106417098787,0.02112282114413638
31,brain_coral,layer4.2,0.36407282184728257,0.16565812529123317
32,junco_bird,layer1.0,0.5701106417098787,0.02112282114413638
33,junco_bird,layer1.1,0.30806161848616215,0.24572516622164928
34,junco_bird,layer1.2,-0.09723055853282467,0.720175527817382
35,junco_bird,layer2.0,0.2658811961337551,0.31957985688014806
36,junco_bird,layer2.1,0.4413294949606683,0.08703124550584021
37,junco_bird,layer2.2,0.17128884750924606,0.525890047971636
38,junco_bird,layer2.3,0.45540087016231284,0.07629501156608252
39,junco_bird,layer3.0,0.4985272427507908,0.04935352278475979
40,junco_bird,layer3.1,0.42008402520840293,0.10522805798352196
41,junco_bird,layer3.2,0.39626524423780807,0.12863922535179972
42,junco_bird,layer3.3,0.36407282184728257,0.16565812529123317
43,junco_bird,layer3.4,0.36407282184728257,0.16565812529123317
44,junco_bird,layer3.5,0.36407282184728257,0.16565812529123317
45,junco_bird,layer4.0,0.36407282184728257,0.16565812529123317
46,junco_bird,layer4.1,0.36407282184728257,0.16565812529123317
47,junco_bird,layer4.2,0.36407282184728257,0.16565812529123317
48,snail,layer1.0,0.35051584405295205,0.18317902678805909
49,snail,layer1.1,0.05150847604921027,0.8497437091571381
50,snail,layer1.2,0.2676470588235294,0.3162544185483094
51,snail,layer2.0,-0.06764705882352941,0.8034203137966691
52,snail,layer2.1,-0.29160530191458023,0.2731485856906051
53,snail,layer2.2,-0.08682857391152587,0.7491614107021848
54,snail,layer2.3,-0.4558823529411765,0.07594549116741177
55,snail,layer3.0,0.04160700551125371,0.8784039444989705
56,snail,layer3.1,-0.29246963670164056,0.27166384830243473
57,snail,layer3.2,0.1853286225076522,0.4919749998846664
58,snail,layer3.3,0.02952049618466984,0.9135783769945405
59,snail,layer3.4,0.04730292428880247,0.8618973486512123
60,snail,layer3.5,0.19469111255356328,0.4699550595134374
61,snail,layer4.0,0.3467507626877288,0.18825299410885823
62,snail,layer4.1,0.557827100394164,0.02474715805746826
63,snail,layer4.2,0.36407282184728257,0.16565812529123317
64,grey_whale,layer1.0,0.8287444169175145,7.271177390012914e-05
65,grey_whale,layer1.1,0.5892046019449495,0.016318500149043076
66,grey_whale,layer1.2,0.019273964902901425,0.9435188109563702
67,grey_whale,layer2.0,0.1768268423437323,0.5123868086846544
68,grey_whale,layer2.1,0.5969060907450808,0.014641568963828245
69,grey_whale,layer2.2,0.5764726547859113,0.019414603461737043
70,grey_whale,layer2.3,0.635239649081121,0.008189255534715775
71,grey_whale,layer3.0,0.3687401922302309,0.1598947827803931
72,grey_whale,layer3.1,0.5513981496101816,0.026824943264538964
73,grey_whale,layer3.2,0.5847343403697368,0.017358230787995952
74,grey_whale,layer3.3,0.48904456945947206,0.05455323295934351
75,grey_whale,layer3.4,0.5401120582457732,0.030792389869367092
76,grey_whale,layer3.5,0.35520883109857154,0.17698163814709866
77,grey_whale,layer4.0,0.7495498900722959,0.0008290633876405695
78,grey_whale,layer4.1,0.5701106417098787,0.02112282114413638
79,grey_whale,layer4.2,0.36407282184728257,0.16565812529123317
80,siberian_husky,layer1.0,0.937104435703645,8.83188438972729e-08
81,siberian_husky,layer1.1,0.8838016488516749,5.611548217436768e-06
82,siberian_husky,layer1.2,0.6138016515231683,0.011434062548602545
