,class,layer,correlation,pvalue
0,schooner,layer3.0,-0.05554877659357492,0.8380973940136189
1,schooner,layer3.1,-0.6279071425610194,0.009204014431030543
2,schooner,layer3.2,-0.33589248226306384,0.20339779809680977
3,schooner,layer3.3,-0.3365879133890652,0.20240495090165156
4,schooner,layer3.4,-0.43524299145137746,0.09199487424149391
5,schooner,layer3.5,-0.4274054732879438,0.09867941354849422
6,schooner,layer4.0,-0.6093115001390346,0.01222654769229464
7,schooner,layer4.1,-0.5769013139614263,0.019303478822315912
8,schooner,layer4.2,-0.36407282184728257,0.16565812529123317
9,brain_coral,layer3.0,-0.46232477758612983,0.07137960346822429
10,brain_coral,layer3.1,-0.5441426715084002,0.029327409186806794
11,brain_coral,layer3.2,-0.543570135990387,0.029532199328988623
12,brain_coral,layer3.3,-0.4023579654306067,0.12233753081159096
13,brain_coral,layer3.4,-0.46560161205969086,0.06913539255809768
14,brain_coral,layer3.5,-0.4211666034398863,0.1042409846683101
15,brain_coral,layer4.0,-0.6212901811579483,0.010202747764985328
16,brain_coral,layer4.1,-0.5752237416355278,0.01974119414816873
17,brain_coral,layer4.2,-0.42008402520840293,0.10522805798352196
18,junco_bird,layer3.0,-0.5368754921931592,0.03200854666164731
19,junco_bird,layer3.1,-0.42008402520840293,0.10522805798352196
20,junco_bird,layer3.2,-0.39626524423780807,0.12863922535179972
21,junco_bird,layer3.3,-0.36407282184728257,0.16565812529123317
22,junco_bird,layer3.4,-0.36407282184728257,0.16565812529123317
23,junco_bird,layer3.5,-0.42008402520840293,0.10522805798352196
24,junco_bird,layer4.0,-0.36407282184728257,0.16565812529123317
25,junco_bird,layer4.1,-0.36407282184728257,0.16565812529123317
26,junco_bird,layer4.2,-0.42008402520840293,0.10522805798352196
27,snail,layer3.0,-0.031205254133440274,0.9086649002714831
28,snail,layer3.1,0.2880382785697975,0.2793279441848179
29,snail,layer3.2,-0.1853286225076522,0.4919749998846664
30,snail,layer3.3,-0.02952049618466984,0.9135783769945405
31,snail,layer3.4,-0.04730292428880247,0.8618973486512123
