,class,layer,correlation,pvalue
0,schooner,layer3.0,0.7108169694791018,0.002024468518437725
1,schooner,layer3.1,0.6647058823529411,0.004967385937481994
2,schooner,layer3.2,0.6029411764705882,0.013424125397891343
3,schooner,layer3.3,0.6529411764705881,0.006102046679077
4,schooner,layer3.4,0.7294117647058823,0.0013430786823836695
5,schooner,layer3.5,0.8352941176470589,5.637132062814415e-05
6,schooner,layer4.0,0.8147058823529412,0.00012130950572235612
7,schooner,layer4.1,0.7088235294117646,0.002111681239254533
8,schooner,layer4.2,0.6470588235294118,0.006742077007179868
9,brain_coral,layer3.0,0.7352941176470589,0.0011716155350991778
10,brain_coral,layer3.1,0.5970588235294118,0.014609731954981046
11,brain_coral,layer3.2,0.6588235294117648,0.0055114223363436875
12,brain_coral,layer3.3,0.6441176470588235,0.007081524086582877
13,brain_coral,layer3.4,0.7411764705882353,0.0010184695495736751
14,brain_coral,layer3.5,0.7411764705882353,0.0010184695495736751
15,brain_coral,layer4.0,0.8029411764705883,0.00018051679467984317
16,brain_coral,layer4.1,0.8470588235294119,3.4680464849150824e-05
17,brain_coral,layer4.2,0.7294117647058823,0.0013430786823836695
18,junco_bird,layer3.0,0.4885946870953659,0.05480959398434314
19,junco_bird,layer3.1,0.5617647058823529,0.023537016474280824
20,junco_bird,layer3.2,0.3588235294117647,0.17230386289263244
21,junco_bird,layer3.3,0.5823529411764706,0.017932734131035355
22,junco_bird,layer3.4,0.6058823529411764,0.012860298533367193
23,junco_bird,layer3.5,0.6911764705882353,0.0030247187950434044
24,junco_bird,layer4.0,0.7411764705882353,0.0010184695495736751
25,junco_bird,layer4.1,0.7911764705882354,0.0002619464480824597
26,junco_bird,layer4.2,0.8176470588235294,0.00010936308081986549
27,snail,layer3.0,0.4088235294117647,0.11588783814878352
28,snail,layer3.1,0.29411764705882354,0.268846554622893
29,snail,layer3.2,0.1411764705882353,0.6020026838819791
30,snail,layer3.3,0.25,0.3503914791072017
31,snail,layer3.4,0.3588235294117647,0.17230386289263244
32,snail,layer3.5,0.3411764705882353,0.1959326248678891
33,snail,layer4.0,0.5588235294117647,0.02443651142450573
34,snail,layer4.1,0.5588235294117647,0.02443651142450573
35,snail,layer4.2,0.5647058823529412,0.02266320484418464
36,grey_whale,layer3.0,0.7176470588235294,0.0017475350604702381
37,grey_whale,layer3.1,0.6088235294117647,0.012315203198246456
38,grey_whale,layer3.2,0.5735294117647058,0.02019103804652309
39,grey_whale,layer3.3,0.5264705882352941,0.036166514972245475
40,grey_whale,layer3.4,0.6470588235294118,0.006742077007179868
41,grey_whale,layer3.5,0.6470588235294118,0.006742077007179868
42,grey_whale,layer4.0,0.7264705882352941,0.0014361826350785247
43,grey_whale,layer4.1,0.7705882352941176,0.0004768223953633258
44,grey_whale,layer4.2,0.5588235294117647,0.02443651142450573
45,siberian_husky,layer3.0,0.5029411764705883,0.047063140467273036
46,siberian_husky,layer3.1,0.4441176470588235,0.08482274417741585
47,siberian_husky,layer3.2,0.3764705882352941,0.1506481152876309
48,siberian_husky,layer3.3,0.4794117647058824,0.06023930250431595
49,siberian_husky,layer3.4,0.6470588235294118,0.006742077007179868
50,siberian_husky,layer3.5,0.7411764705882353,0.0010184695495736751
51,siberian_husky,layer4.0,0.6970588235294117,0.0026905894025605953
52,siberian_husky,layer4.1,0.5882352941176471,0.016539722195378158
53,siberian_husky,layer4.2,0.4441176470588235,0.08482274417741585
54,electric_fan,layer3.0,0.44117647058823534,0.08715363626051087
55,electric_fan,layer3.1,0.4205882352941176,0.10476751392918707
56,electric_fan,layer3.2,0.38235294117647056,0.14385924954389048
57,electric_fan,layer3.3,0.38410606425268223,0.14187692227551849
58,electric_fan,layer3.4,0.4647058823529412,0.06974367557375584
59,electric_fan,layer3.5,0.6441176470588235,0.007081524086582877
60,electric_fan,layer4.0,0.75,0.0008197640272555872
61,electric_fan,layer4.1,0.7441176470588236,0.0009482827857378686
62,electric_fan,layer4.2,0.7529411764705882,0.0007610810731946071
63,bookcase,layer3.0,0.6764705882352942,0.00400825239020936
64,bookcase,layer3.1,0.711764705882353,0.0019840432477699634
65,bookcase,layer3.2,0.5911764705882353,0.01587557955564148
66,bookcase,layer3.3,0.6852941176470588,0.003391561745216595
67,bookcase,layer3.4,0.7029411764705883,0.0023869526693009327
68,bookcase,layer3.5,0.6323529411764706,0.008577584103099355
69,bookcase,layer4.0,0.788235294117647,0.0002864656823918493
70,bookcase,layer4.1,0.75,0.0008197640272555872
71,bookcase,layer4.2,0.65,0.006415706521175286
72,fountain_pen,layer3.0,0.4558823529411765,0.07594549116741177
73,fountain_pen,layer3.1,0.3529411764705882,0.17995865788498183
74,fountain_pen,layer3.2,0.2823529411764706,0.2893498290632739
75,fountain_pen,layer3.3,0.3029411764705882,0.25406688060961147
76,fountain_pen,layer3.4,0.43529411764705883,0.09195235850572929
77,fountain_pen,layer3.5,0.4058823529411764,0.11879168453237476
78,fountain_pen,layer4.0,0.65,0.006415706521175286
79,fountain_pen,layer4.1,0.7529411764705882,0.0007610810731946071
80,fountain_pen,layer4.2,0.75,0.0008197640272555872
81,toaster,layer3.0,0.4735294117647058,0.06391907182682008
82,toaster,layer3.1,0.4705882352941176,0.06581947250108118
83,toaster,layer3.2,0.4647058823529412,0.06974367557375584
84,toaster,layer3.3,0.45294117647058824,0.07809874141672511
85,toaster,layer3.4,0.33529411764705885,0.20425458084551512
86,toaster,layer3.5,0.37058823529411766,0.15765046473782054
87,toaster,layer4.0,0.5617647058823529,0.023537016474280824
88,toaster,layer4.1,0.7235294117647059,0.001534481189823956
89,toaster,layer4.2,0.6029411764705882,0.013424125397891343
