,class,layer,correlation,pvalue
0,encoder.layers.encoder_layer_0,schooner,0.3927013754901848,0.1324272819923371
1,encoder.layers.encoder_layer_0,brain_coral,0.7759779179686052,0.000410048263651039
2,encoder.layers.encoder_layer_0,junco_bird,0.09110671911372287,0.7371995187963716
3,encoder.layers.encoder_layer_0,snail,-0.0015708055019607392,0.9953934515194296
4,encoder.layers.encoder_layer_0,grey_whale,0.8136772500156629,0.00012573558989511545
5,encoder.layers.encoder_layer_0,siberian_husky,-0.01570805501960739,0.9539570122388745
6,encoder.layers.encoder_layer_0,electric_fan,0.23405001979215018,0.3829529981766575
7,encoder.layers.encoder_layer_0,bookcase,0.11466880164313395,0.6723914854824975
8,encoder.layers.encoder_layer_0,fountain_pen,0.6660215328313535,0.0048518030865582875
9,encoder.layers.encoder_layer_0,toaster,0.6346054227921387,0.008273355088114075
10,encoder.layers.encoder_layer_1,schooner,0.37385170946665597,0.15373913370173353
11,encoder.layers.encoder_layer_1,brain_coral,0.3235859334039123,0.22148875368158094
12,encoder.layers.encoder_layer_1,junco_bird,0.30159465637646193,0.25628917926814715
13,encoder.layers.encoder_layer_1,snail,0.042411748552939964,0.8760688214033076
14,encoder.layers.encoder_layer_1,grey_whale,0.3518604324392056,0.18138902879282423
15,encoder.layers.encoder_layer_1,siberian_husky,0.1649345777058776,0.5415796149596428
16,encoder.layers.encoder_layer_1,electric_fan,0.2607537133254827,0.3293503230157444
17,encoder.layers.encoder_layer_1,bookcase,0.4869497056078292,0.05575455859788277
18,encoder.layers.encoder_layer_1,fountain_pen,0.4304007075372425,0.09608544517763389
19,encoder.layers.encoder_layer_1,toaster,0.30787787838430486,0.24602151012967025
20,encoder.layers.encoder_layer_2,schooner,0.3518604324392056,0.18138902879282423
21,encoder.layers.encoder_layer_2,brain_coral,0.2978207676658765,0.262581265377096
22,encoder.layers.encoder_layer_2,junco_bird,0.16336377220391687,0.5454898408978999
23,encoder.layers.encoder_layer_2,snail,0.17278860521568132,0.522217326089387
24,encoder.layers.encoder_layer_2,grey_whale,0.4421256757101672,0.086396435804923
25,encoder.layers.encoder_layer_2,siberian_husky,0.13194766216470208,0.626175732877045
26,encoder.layers.encoder_layer_2,electric_fan,0.3927013754901848,0.1324272819923371
27,encoder.layers.encoder_layer_2,bookcase,0.26232451882744345,0.3263390721512801
28,encoder.layers.encoder_layer_2,fountain_pen,0.21048793726273904,0.43393130523430035
29,encoder.layers.encoder_layer_2,toaster,0.31730271139606936,0.231107312227389
30,encoder.layers.encoder_layer_3,schooner,0.2456253753945373,0.35916243730128483
31,encoder.layers.encoder_layer_3,brain_coral,0.14222612422703038,0.5992771793981351
32,encoder.layers.encoder_layer_3,junco_bird,0.0184219031545903,0.9460122596603977
33,encoder.layers.encoder_layer_3,snail,0.09581913561960509,0.7240886218655289
34,encoder.layers.encoder_layer_3,grey_whale,0.2711185493077766,0.30977604862427255
35,encoder.layers.encoder_layer_3,siberian_husky,0.006283222007842957,0.981575169958901
36,encoder.layers.encoder_layer_3,electric_fan,0.27632854731885453,0.3002007005770115
37,encoder.layers.encoder_layer_3,bookcase,-0.035556531056757594,0.8959894660527455
38,encoder.layers.encoder_layer_3,fountain_pen,0.0567657568956882,0.8345954598275321
39,encoder.layers.encoder_layer_3,toaster,0.12566444015685913,0.6428418952449325
40,encoder.layers.encoder_layer_4,schooner,0.12214867177384148,0.6522382010131602
41,encoder.layers.encoder_layer_4,brain_coral,-0.09705882352941177,0.7206513082372035
42,encoder.layers.encoder_layer_4,junco_bird,-0.10448925095464312,0.7001557196546639
43,encoder.layers.encoder_layer_4,snail,-0.10439078454267836,0.7004260933062465
44,encoder.layers.encoder_layer_4,grey_whale,0.08529411764705883,0.7534650694747833
45,encoder.layers.encoder_layer_4,siberian_husky,-0.2371916307960716,0.37641309613016616
46,encoder.layers.encoder_layer_4,electric_fan,0.18667178804797738,0.4887861137384093
47,encoder.layers.encoder_layer_4,bookcase,0.04565542506572064,0.8666665389625952
48,encoder.layers.encoder_layer_4,fountain_pen,-0.11046006529490844,0.6838248938645601
49,encoder.layers.encoder_layer_4,toaster,-0.21441444030564338,0.425203401874808
50,encoder.layers.encoder_layer_5,schooner,0.09705882352941177,0.7206513082372035
51,encoder.layers.encoder_layer_5,brain_coral,-0.37941176470588234,0.14722713386289268
52,encoder.layers.encoder_layer_5,junco_bird,-0.0588235294117647,0.8286807500332258
53,encoder.layers.encoder_layer_5,snail,-0.1917412472118426,0.47684022284585936
54,encoder.layers.encoder_layer_5,grey_whale,0.11176470588235293,0.6802736949858406
55,encoder.layers.encoder_layer_5,siberian_husky,-0.0411764705882353,0.8796536149318311
56,encoder.layers.encoder_layer_5,electric_fan,-0.5264705882352941,0.036166514972245475
57,encoder.layers.encoder_layer_5,bookcase,-0.26176470588235295,0.3274104118125859
58,encoder.layers.encoder_layer_5,fountain_pen,0.4415012232789452,0.08689404171336476
59,encoder.layers.encoder_layer_5,toaster,-0.05445181753773657,0.8412564044642662
60,encoder.layers.encoder_layer_6,schooner,-0.07058823529411765,0.795039302337628
61,encoder.layers.encoder_layer_6,brain_coral,-0.5058823529411764,0.045581616123940336
62,encoder.layers.encoder_layer_6,junco_bird,-0.09999999999999999,0.7125163701282782
63,encoder.layers.encoder_layer_6,snail,-0.44705882352941173,0.0825369233953715
64,encoder.layers.encoder_layer_6,grey_whale,0.0029411764705882353,0.9913748045563624
65,encoder.layers.encoder_layer_6,siberian_husky,-0.5411764705882353,0.03040021888817021
66,encoder.layers.encoder_layer_6,electric_fan,-0.5088235294117647,0.04413521823498383
67,encoder.layers.encoder_layer_6,bookcase,-0.3558823529411765,0.1761037380915931
68,encoder.layers.encoder_layer_6,fountain_pen,0.2823529411764706,0.2893498290632739
69,encoder.layers.encoder_layer_6,toaster,-0.09117647058823529,0.7370049501736589
70,encoder.layers.encoder_layer_7,schooner,-0.4852941176470588,0.05671771428191195
71,encoder.layers.encoder_layer_7,brain_coral,-0.6588235294117648,0.0055114223363436875
72,encoder.layers.encoder_layer_7,junco_bird,-0.5029411764705883,0.047063140467273036
73,encoder.layers.encoder_layer_7,snail,-0.5970588235294118,0.014609731954981046
74,encoder.layers.encoder_layer_7,grey_whale,-0.14705882352941177,0.5867933937012053
75,encoder.layers.encoder_layer_7,siberian_husky,-0.6941176470588235,0.002853705903456908
76,encoder.layers.encoder_layer_7,electric_fan,-0.6588235294117648,0.0055114223363436875
77,encoder.layers.encoder_layer_7,bookcase,-0.6617647058823529,0.005233753301327506
78,encoder.layers.encoder_layer_7,fountain_pen,-0.05294117647058824,0.8456104411493658
79,encoder.layers.encoder_layer_7,toaster,-0.4588235294117647,0.07383553449548107
80,encoder.layers.encoder_layer_8,schooner,-0.6357617615216811,0.008120532147189457
81,encoder.layers.encoder_layer_8,brain_coral,-0.6416484444987336,0.007376868278084657
82,encoder.layers.encoder_layer_8,junco_bird,-0.6033850051478916,0.013337825628072095
83,encoder.layers.encoder_layer_8,snail,-0.7647058823529411,0.0005596762943567445
84,encoder.layers.encoder_layer_8,grey_whale,-0.788235294117647,0.0002864656823918493
85,encoder.layers.encoder_layer_8,siberian_husky,-0.7352941176470589,0.0011716155350991778
86,encoder.layers.encoder_layer_8,electric_fan,-0.6264705882352941,0.009413977306783632
87,encoder.layers.encoder_layer_8,bookcase,-0.6852941176470588,0.003391561745216595
88,encoder.layers.encoder_layer_8,fountain_pen,-0.6352941176470589,0.00818206461633401
89,encoder.layers.encoder_layer_8,toaster,-0.6029411764705882,0.013424125397891343
90,encoder.layers.encoder_layer_9,schooner,-0.566593236541313,0.02211578320871191
91,encoder.layers.encoder_layer_9,brain_coral,-0.7617647058823529,0.000605342838070589
92,encoder.layers.encoder_layer_9,junco_bird,-0.18248717228863065,0.49875354989484955
93,encoder.layers.encoder_layer_9,snail,-0.7382352941176471,0.0010928508118481519
94,encoder.layers.encoder_layer_9,grey_whale,-0.6176470588235293,0.010787984601948835
95,encoder.layers.encoder_layer_9,siberian_husky,-0.6588235294117648,0.0055114223363436875
96,encoder.layers.encoder_layer_9,electric_fan,-0.4382352941176471,0.08953003199187995
97,encoder.layers.encoder_layer_9,bookcase,-0.3382352941176471,0.2000655587786896
98,encoder.layers.encoder_layer_9,fountain_pen,-0.6441176470588235,0.007081524086582877
99,encoder.layers.encoder_layer_9,toaster,-0.2735294117647059,0.3053231563074052
100,encoder.layers.encoder_layer_10,schooner,-0.85,3.0522600677849796e-05
101,encoder.layers.encoder_layer_10,brain_coral,-0.6088235294117647,0.012315203198246456
102,encoder.layers.encoder_layer_10,junco_bird,-0.4147058823529412,0.11022940391770164
103,encoder.layers.encoder_layer_10,snail,-0.5676470588235295,0.02181459214374292
104,encoder.layers.encoder_layer_10,grey_whale,-0.6558823529411765,0.005800736962231502
105,encoder.layers.encoder_layer_10,siberian_husky,-0.6617647058823529,0.005233753301327506
106,encoder.layers.encoder_layer_10,electric_fan,-0.18529411764705883,0.4920570502059438
107,encoder.layers.encoder_layer_10,bookcase,-0.023529411764705882,0.931073583667659
108,encoder.layers.encoder_layer_10,fountain_pen,-0.5558823529411765,0.025362176320607922
109,encoder.layers.encoder_layer_10,toaster,-0.2676470588235294,0.3162544185483094
110,encoder.layers.encoder_layer_11,schooner,-0.7529411764705882,0.0007610810731946071
111,encoder.layers.encoder_layer_11,brain_coral,-0.5617647058823529,0.023537016474280824
112,encoder.layers.encoder_layer_11,junco_bird,-0.18235294117647058,0.49907485724580003
113,encoder.layers.encoder_layer_11,snail,-0.5264705882352941,0.036166514972245475
114,encoder.layers.encoder_layer_11,grey_whale,-0.4647058823529412,0.06974367557375584
115,encoder.layers.encoder_layer_11,siberian_husky,-0.5529411764705882,0.026314499870666502
116,encoder.layers.encoder_layer_11,electric_fan,-0.08529411764705883,0.7534650694747833
117,encoder.layers.encoder_layer_11,bookcase,0.047058823529411764,0.8626036946668731
118,encoder.layers.encoder_layer_11,fountain_pen,-0.3764705882352941,0.1506481152876309
119,encoder.layers.encoder_layer_11,toaster,-0.19705882352941176,0.46446421122573867
