,class,layer,correlation,pvalue
0,encoder.layers.encoder_layer_0,schooner,0.7822611399764482,0.00034213923452455563
1,encoder.layers.encoder_layer_0,brain_coral,0.7885443619842911,0.00028380310363851135
2,encoder.layers.encoder_layer_0,junco_bird,0.7539866409411548,0.0007410716145204707
3,encoder.layers.encoder_layer_0,snail,0.7696946959607621,0.0004887125222224255
4,encoder.layers.encoder_layer_0,grey_whale,0.7791195289725266,0.0003748254758861725
5,encoder.layers.encoder_layer_0,siberian_husky,0.7602698629489978,0.0006297011009652385
6,encoder.layers.encoder_layer_0,electric_fan,0.8985007471215427,2.2669584732407336e-06
7,encoder.layers.encoder_layer_0,bookcase,0.7634114739529192,0.0005794114381940542
8,encoder.layers.encoder_layer_0,fountain_pen,0.7524158354391941,0.0007713018310420017
9,encoder.layers.encoder_layer_0,toaster,0.7728363069646836,0.00044795834129605775
10,encoder.layers.encoder_layer_1,schooner,0.5325030651646906,0.03370904619417138
11,encoder.layers.encoder_layer_1,brain_coral,0.45239198456469293,0.07850564086829312
12,encoder.layers.encoder_layer_1,junco_bird,0.6251805897803742,0.009605727595275192
13,encoder.layers.encoder_layer_1,snail,0.5340738706666514,0.03309043977169889
14,encoder.layers.encoder_layer_1,grey_whale,0.4853789001058685,0.05666809497510424
15,encoder.layers.encoder_layer_1,siberian_husky,0.5073701771333188,0.04484558201895251
16,encoder.layers.encoder_layer_1,electric_fan,0.6581675053215497,0.005574932104241587
17,encoder.layers.encoder_layer_1,bookcase,0.7288537529097829,0.0013603533296548908
18,encoder.layers.encoder_layer_1,fountain_pen,0.5654899807058662,0.022434526738741616
19,encoder.layers.encoder_layer_1,toaster,0.5152242046431225,0.04110652480224313
20,encoder.layers.encoder_layer_2,schooner,0.45396279006665363,0.07734587736244199
21,encoder.layers.encoder_layer_2,brain_coral,0.3561567943220791,0.17574684615626918
22,encoder.layers.encoder_layer_2,junco_bird,0.4555335955686144,0.07619854692497531
23,encoder.layers.encoder_layer_2,snail,0.37385170946665597,0.15373913370173353
24,encoder.layers.encoder_layer_2,grey_whale,0.51888360552096,0.03944665545185487
25,encoder.layers.encoder_layer_2,siberian_husky,0.3691392929607737,0.15940829840694407
26,encoder.layers.encoder_layer_2,electric_fan,0.5670607862078269,0.021981760653703657
27,encoder.layers.encoder_layer_2,bookcase,0.6157557567686097,0.011102053516323143
28,encoder.layers.encoder_layer_2,fountain_pen,0.4209758745254781,0.10441441209379408
29,encoder.layers.encoder_layer_2,toaster,0.3801349314744989,0.14639413773027665
30,encoder.layers.encoder_layer_3,schooner,0.3561567943220791,0.17574684615626918
31,encoder.layers.encoder_layer_3,brain_coral,0.3037120361098044,0.2528000294273272
32,encoder.layers.encoder_layer_3,junco_bird,0.39300060063125974,0.13210632032300165
33,encoder.layers.encoder_layer_3,snail,0.2921698233646975,0.27217830484819955
34,encoder.layers.encoder_layer_3,grey_whale,0.4163077177895368,0.108722718648769
35,encoder.layers.encoder_layer_3,siberian_husky,0.2827449903529331,0.2886519289940998
36,encoder.layers.encoder_layer_3,electric_fan,0.48511011640421126,0.056825512113102265
37,encoder.layers.encoder_layer_3,bookcase,0.3422316114212918,0.1944635856310683
38,encoder.layers.encoder_layer_3,fountain_pen,0.3420883770819105,0.19466258419888433
39,encoder.layers.encoder_layer_3,toaster,0.3157319058941086,0.2335524448604355
40,encoder.layers.encoder_layer_4,schooner,0.28108911215426174,0.291606476021242
41,encoder.layers.encoder_layer_4,brain_coral,0.2588235294117647,0.3330723066336081
42,encoder.layers.encoder_layer_4,junco_bird,0.21494931624955158,0.4240215652704936
43,encoder.layers.encoder_layer_4,snail,0.15965649400644927,0.5547673895001806
44,encoder.layers.encoder_layer_4,grey_whale,0.2676470588235294,0.3162544185483094
45,encoder.layers.encoder_layer_4,siberian_husky,0.2670369353333257,0.3174011028019835
46,encoder.layers.encoder_layer_4,electric_fan,0.4829762135209573,0.05808673575886012
47,encoder.layers.encoder_layer_4,bookcase,0.2945511294562622,0.2681084813091418
48,encoder.layers.encoder_layer_4,fountain_pen,0.2955553098431334,0.26640345618508865
49,encoder.layers.encoder_layer_4,toaster,0.17968534081951806,0.5054804483775063
50,encoder.layers.encoder_layer_5,schooner,-0.4941176470588235,0.051723442249235474
51,encoder.layers.encoder_layer_5,brain_coral,-0.6029411764705882,0.013424125397891343
52,encoder.layers.encoder_layer_5,junco_bird,-0.5264705882352941,0.036166514972245475
53,encoder.layers.encoder_layer_5,snail,-0.5073768387759527,0.04484230658719164
54,encoder.layers.encoder_layer_5,grey_whale,-0.2647058823529412,0.3218043958686153
55,encoder.layers.encoder_layer_5,siberian_husky,-0.6147058823529412,0.011279474063305006
56,encoder.layers.encoder_layer_5,electric_fan,-0.5794117647058823,0.018662529417711946
57,encoder.layers.encoder_layer_5,bookcase,-0.25588235294117645,0.33878990807124576
58,encoder.layers.encoder_layer_5,fountain_pen,-0.07358353721315752,0.7865256035856114
59,encoder.layers.encoder_layer_5,toaster,-0.507726406770787,0.04467068000804308
60,encoder.layers.encoder_layer_6,schooner,-0.4852941176470588,0.05671771428191195
61,encoder.layers.encoder_layer_6,brain_coral,-0.7735294117647058,0.0004393556517117217
62,encoder.layers.encoder_layer_6,junco_bird,-0.5970588235294118,0.014609731954981046
63,encoder.layers.encoder_layer_6,snail,-0.6176470588235293,0.010787984601948835
64,encoder.layers.encoder_layer_6,grey_whale,-0.5529411764705882,0.026314499870666502
65,encoder.layers.encoder_layer_6,siberian_husky,-0.6617647058823529,0.005233753301327506
66,encoder.layers.encoder_layer_6,electric_fan,-0.45,0.0802957365433964
67,encoder.layers.encoder_layer_6,bookcase,-0.22647058823529412,0.3989829266412891
68,encoder.layers.encoder_layer_6,fountain_pen,-0.4382352941176471,0.08953003199187995
69,encoder.layers.encoder_layer_6,toaster,-0.538235294117647,0.031493228205838324
70,encoder.layers.encoder_layer_7,schooner,-0.538235294117647,0.031493228205838324
71,encoder.layers.encoder_layer_7,brain_coral,-0.6764705882352942,0.00400825239020936
72,encoder.layers.encoder_layer_7,junco_bird,-0.5441176470588236,0.029336337481376578
73,encoder.layers.encoder_layer_7,snail,-0.5823529411764706,0.017932734131035355
74,encoder.layers.encoder_layer_7,grey_whale,-0.5941176470588235,0.015232400876328003
75,encoder.layers.encoder_layer_7,siberian_husky,-0.5470588235294118,0.028301087242108842
76,encoder.layers.encoder_layer_7,electric_fan,-0.5441176470588236,0.029336337481376578
77,encoder.layers.encoder_layer_7,bookcase,-0.4176470588235294,0.1074740793993006
78,encoder.layers.encoder_layer_7,fountain_pen,-0.5676470588235295,0.02181459214374292
79,encoder.layers.encoder_layer_7,toaster,-0.5529411764705882,0.026314499870666502
80,encoder.layers.encoder_layer_8,schooner,-0.6637235056626809,0.005055118789637942
81,encoder.layers.encoder_layer_8,brain_coral,-0.5106697482593132,0.04324501539798135
82,encoder.layers.encoder_layer_8,junco_bird,-0.5106697482593132,0.04324501539798135
83,encoder.layers.encoder_layer_8,snail,-0.7441176470588236,0.0009482827857378686
84,encoder.layers.encoder_layer_8,grey_whale,-0.6088235294117647,0.012315203198246456
85,encoder.layers.encoder_layer_8,siberian_husky,-0.6676470588235294,0.004711981947989975
86,encoder.layers.encoder_layer_8,electric_fan,-0.5588235294117647,0.02443651142450573
87,encoder.layers.encoder_layer_8,bookcase,-0.4911764705882353,0.053350435677943356
88,encoder.layers.encoder_layer_8,fountain_pen,-0.6294117647058822,0.008988089264446917
89,encoder.layers.encoder_layer_8,toaster,-0.5558823529411765,0.025362176320607922
90,encoder.layers.encoder_layer_9,schooner,-0.5827816147282076,0.0178282442235487
91,encoder.layers.encoder_layer_9,brain_coral,-0.6735294117647058,0.0042327392484605075
92,encoder.layers.encoder_layer_9,junco_bird,-0.4385578817904189,0.08926715445735545
93,encoder.layers.encoder_layer_9,snail,-0.7411764705882353,0.0010184695495736751
94,encoder.layers.encoder_layer_9,grey_whale,-0.5088235294117647,0.04413521823498383
95,encoder.layers.encoder_layer_9,siberian_husky,-0.5852941176470587,0.017225286616094855
96,encoder.layers.encoder_layer_9,electric_fan,-0.44117647058823534,0.08715363626051087
97,encoder.layers.encoder_layer_9,bookcase,-0.4617647058823529,0.07176841584053797
98,encoder.layers.encoder_layer_9,fountain_pen,-0.5205882352941177,0.03869090714064999
99,encoder.layers.encoder_layer_9,toaster,-0.42352941176470593,0.10210932208599745
100,encoder.layers.encoder_layer_10,schooner,-0.5617647058823529,0.023537016474280824
101,encoder.layers.encoder_layer_10,brain_coral,-0.6352941176470589,0.00818206461633401
102,encoder.layers.encoder_layer_10,junco_bird,-0.4088235294117647,0.11588783814878352
103,encoder.layers.encoder_layer_10,snail,-0.4794117647058824,0.06023930250431595
104,encoder.layers.encoder_layer_10,grey_whale,-0.5147058823529412,0.04134580644224894
105,encoder.layers.encoder_layer_10,siberian_husky,-0.5764705882352941,0.01941514038653157
106,encoder.layers.encoder_layer_10,electric_fan,-0.4558823529411765,0.07594549116741177
107,encoder.layers.encoder_layer_10,bookcase,-0.23823529411764705,0.37425412972798844
108,encoder.layers.encoder_layer_10,fountain_pen,-0.5176470588235293,0.04000179295956069
109,encoder.layers.encoder_layer_10,toaster,-0.4852941176470588,0.05671771428191195
110,encoder.layers.encoder_layer_11,schooner,-0.4205882352941176,0.10476751392918707
111,encoder.layers.encoder_layer_11,brain_coral,-0.6323529411764706,0.008577584103099355
112,encoder.layers.encoder_layer_11,junco_bird,-0.26176470588235295,0.3274104118125859
113,encoder.layers.encoder_layer_11,snail,-0.44705882352941173,0.0825369233953715
114,encoder.layers.encoder_layer_11,grey_whale,-0.3147058823529411,0.23515831926634445
115,encoder.layers.encoder_layer_11,siberian_husky,-0.4941176470588235,0.051723442249235474
116,encoder.layers.encoder_layer_11,electric_fan,-0.3147058823529411,0.23515831926634445
117,encoder.layers.encoder_layer_11,bookcase,-0.1647058823529412,0.5421481352010777
118,encoder.layers.encoder_layer_11,fountain_pen,-0.4088235294117647,0.11588783814878352
