,class,layer,correlation,pvalue
0,schooner,encoder.layers.encoder_layer_0,-0.879651081098014,7.0926994520813575e-06
1,schooner,encoder.layers.encoder_layer_1,-0.8953591361176213,2.782128465652747e-06
2,schooner,encoder.layers.encoder_layer_2,-0.885934303105857,4.958119953488673e-06
3,schooner,encoder.layers.encoder_layer_3,-0.8167043731868366,0.00011308030020871467
4,schooner,encoder.layers.encoder_layer_4,-0.7637971162725751,0.0005734728194582663
5,schooner,encoder.layers.encoder_layer_5,-0.7058823529411764,0.002245900601051328
6,schooner,encoder.layers.encoder_layer_6,-0.7058823529411764,0.002245900601051328
7,schooner,encoder.layers.encoder_layer_7,-0.6088235294117647,0.012315203198246456
8,schooner,encoder.layers.encoder_layer_8,-0.5136130897478395,0.041853715704549106
9,schooner,encoder.layers.encoder_layer_9,-0.24576901429194614,0.35887251829176015
10,schooner,encoder.layers.encoder_layer_10,-0.0588235294117647,0.8286807500332258
11,schooner,encoder.layers.encoder_layer_11,-0.03823529411764706,0.8881976539853073
12,brain_coral,encoder.layers.encoder_layer_0,-0.9142088021411502,7.293036855447585e-07
13,brain_coral,encoder.layers.encoder_layer_1,-0.9110671911372288,9.301048101310359e-07
14,brain_coral,encoder.layers.encoder_layer_2,-0.921095157729515,4.1366951379565125e-07
15,brain_coral,encoder.layers.encoder_layer_3,-0.7763175947392074,0.00040611307665558926
16,brain_coral,encoder.layers.encoder_layer_4,-0.711764705882353,0.0019840432477699634
17,brain_coral,encoder.layers.encoder_layer_5,-0.6176470588235293,0.010787984601948835
18,brain_coral,encoder.layers.encoder_layer_6,-0.6588235294117648,0.0055114223363436875
19,brain_coral,encoder.layers.encoder_layer_7,-0.5088235294117647,0.04413521823498383
20,brain_coral,encoder.layers.encoder_layer_8,-0.5033113945379976,0.046874705267935905
21,brain_coral,encoder.layers.encoder_layer_9,-0.15882352941176472,0.5568612810855389
22,brain_coral,encoder.layers.encoder_layer_10,-0.09999999999999999,0.7125163701282782
23,brain_coral,encoder.layers.encoder_layer_11,-0.2323529411764706,0.38651134990798475
24,junco_bird,encoder.layers.encoder_layer_0,-0.8105356390117414,0.0001400936887567042
25,junco_bird,encoder.layers.encoder_layer_1,-0.9047839691293859,1.4744530212801034e-06
26,junco_bird,encoder.layers.encoder_layer_2,-0.9110671911372288,9.301048101310359e-07
27,junco_bird,encoder.layers.encoder_layer_3,-0.8504778623035855,2.9888259196556046e-05
28,junco_bird,encoder.layers.encoder_layer_4,-0.818001564616349,0.00010799177521142816
29,junco_bird,encoder.layers.encoder_layer_5,-0.6970588235294117,0.0026905894025605953
