,class,layer,A,B,correlation,pvalue
0,schooner,conv_1,decoding_accuracy_delta,cka,0.6647058823529411,0.004967385937481994
1,schooner,conv_1,decoding_accuracy_delta,procrustes,0.6352941176470589,0.00818206461633401
2,schooner,conv_1,decoding_accuracy_delta,pwcca,0.5735294117647058,0.02019103804652309
3,schooner,conv_1,decoding_accuracy_delta,mean_sq_cca_corr,-0.55,0.027293972709730593
4,schooner,conv_1,decoding_accuracy_delta,mean_cca_corr,-0.55,0.027293972709730593
5,schooner,conv_1,ablation_impact,cka,0.2310523068493146,0.3892505371419813
6,schooner,conv_1,ablation_impact,procrustes,0.16188378186894656,0.5491853378865109
7,schooner,conv_1,ablation_impact,pwcca,0.15011041591484134,0.5789661794244588
8,schooner,conv_1,ablation_impact,mean_sq_cca_corr,-0.16777046484599917,0.5345518589513365
9,schooner,conv_1,ablation_impact,mean_cca_corr,-0.16777046484599917,0.5345518589513365
10,schooner,conv_2,decoding_accuracy_delta,cka,0.4676470588235294,0.06776085019015395
11,schooner,conv_2,decoding_accuracy_delta,procrustes,0.488235294117647,0.05501502977813759
12,schooner,conv_2,decoding_accuracy_delta,pwcca,0.3205882352941176,0.22604542220798235
13,schooner,conv_2,decoding_accuracy_delta,mean_sq_cca_corr,-0.3205882352941176,0.22604542220798235
14,schooner,conv_2,decoding_accuracy_delta,mean_cca_corr,-0.3205882352941176,0.22604542220798235
15,schooner,conv_2,ablation_impact,cka,0.5957212027621062,0.014890402307572777
16,schooner,conv_2,ablation_impact,procrustes,0.6016340682982064,0.013680826154143509
17,schooner,conv_2,ablation_impact,pwcca,0.5232885999448774,0.03751609261096184
18,schooner,conv_2,ablation_impact,mean_sq_cca_corr,-0.5232885999448774,0.03751609261096184
19,schooner,conv_2,ablation_impact,mean_cca_corr,-0.5232885999448774,0.03751609261096184
20,schooner,conv_3,decoding_accuracy_delta,cka,0.7235294117647059,0.001534481189823956
21,schooner,conv_3,decoding_accuracy_delta,procrustes,0.7441176470588236,0.0009482827857378686
22,schooner,conv_3,decoding_accuracy_delta,pwcca,0.6441176470588235,0.007081524086582877
23,schooner,conv_3,decoding_accuracy_delta,mean_sq_cca_corr,-0.6235294117647059,0.009855650390922007
24,schooner,conv_3,decoding_accuracy_delta,mean_cca_corr,-0.6235294117647059,0.009855650390922007
25,schooner,conv_3,ablation_impact,cka,0.4382352941176471,0.08953003199187995
26,schooner,conv_3,ablation_impact,procrustes,0.4205882352941176,0.10476751392918707
27,schooner,conv_3,ablation_impact,pwcca,0.43529411764705883,0.09195235850572929
28,schooner,conv_3,ablation_impact,mean_sq_cca_corr,-0.40294117647058825,0.121745762952543
29,schooner,conv_3,ablation_impact,mean_cca_corr,-0.40294117647058825,0.121745762952543
30,schooner,conv_4,decoding_accuracy_delta,cka,0.3235294117647059,0.2215741250012429
31,schooner,conv_4,decoding_accuracy_delta,procrustes,0.38410606425268223,0.14187692227551849
32,schooner,conv_4,decoding_accuracy_delta,pwcca,0.37941176470588234,0.14722713386289268
33,schooner,conv_4,decoding_accuracy_delta,mean_sq_cca_corr,-0.44705882352941173,0.0825369233953715
34,schooner,conv_4,decoding_accuracy_delta,mean_cca_corr,-0.44705882352941173,0.0825369233953715
35,schooner,conv_4,ablation_impact,cka,0.4424853441987349,0.08611075601775688
36,schooner,conv_4,ablation_impact,procrustes,0.44726888982599644,0.0823753772542983
37,schooner,conv_4,ablation_impact,pwcca,0.29251547921862675,0.27158523822726954
38,schooner,conv_4,ablation_impact,mean_sq_cca_corr,-0.23906087387918223,0.37255112978795224
39,schooner,conv_4,ablation_impact,mean_cca_corr,-0.23906087387918223,0.37255112978795224
40,schooner,conv_5,decoding_accuracy_delta,cka,0.7558823529411764,0.0007058905869098943
41,schooner,conv_5,decoding_accuracy_delta,procrustes,0.7323529411764707,0.0012549581661522623
42,schooner,conv_5,decoding_accuracy_delta,pwcca,0.6529411764705881,0.006102046679077
43,schooner,conv_5,decoding_accuracy_delta,mean_sq_cca_corr,-0.6794117647058824,0.003793432669159743
44,schooner,conv_5,decoding_accuracy_delta,mean_cca_corr,-0.6794117647058824,0.003793432669159743
45,schooner,conv_5,ablation_impact,cka,0.591722342155256,0.015754637212135915
46,schooner,conv_5,ablation_impact,procrustes,0.612748009135392,0.011616290642879456
47,schooner,conv_5,ablation_impact,pwcca,0.651795676384216,0.006222719730230878
48,schooner,conv_5,ablation_impact,mean_sq_cca_corr,-0.6247626759811841,0.009668504780762695
49,schooner,conv_5,ablation_impact,mean_cca_corr,-0.6247626759811841,0.009668504780762695
50,schooner,dense_1,decoding_accuracy_delta,cka,0.44705882352941173,0.0825369233953715
51,schooner,dense_1,decoding_accuracy_delta,procrustes,0.43529411764705883,0.09195235850572929
52,schooner,dense_1,decoding_accuracy_delta,pwcca,0.4382352941176471,0.08953003199187995
53,schooner,dense_1,decoding_accuracy_delta,mean_sq_cca_corr,-0.4382352941176471,0.08953003199187995
54,schooner,dense_1,decoding_accuracy_delta,mean_cca_corr,-0.4176470588235294,0.1074740793993006
55,schooner,dense_1,ablation_impact,cka,0.08384586528160265,0.7575332064672327
56,schooner,dense_1,ablation_impact,procrustes,0.11678531235651797,0.6666669427039742
57,schooner,dense_1,ablation_impact,pwcca,0.10480733160200331,0.6992825497598545
58,schooner,dense_1,ablation_impact,mean_sq_cca_corr,-0.10480733160200331,0.6992825497598545
59,schooner,dense_1,ablation_impact,mean_cca_corr,-0.11678531235651797,0.6666669427039742
60,schooner,dense_2,decoding_accuracy_delta,cka,0.6411764705882352,0.007434419082533942
61,schooner,dense_2,decoding_accuracy_delta,procrustes,0.6294117647058822,0.008988089264446917
62,schooner,dense_2,decoding_accuracy_delta,pwcca,0.5970588235294118,0.014609731954981046
63,schooner,dense_2,decoding_accuracy_delta,mean_sq_cca_corr,-0.5970588235294118,0.014609731954981046
64,schooner,dense_2,decoding_accuracy_delta,mean_cca_corr,-0.5970588235294118,0.014609731954981046
65,schooner,dense_2,ablation_impact,cka,0.2994046491739876,0.2599290835246741
66,schooner,dense_2,ablation_impact,procrustes,0.3184144681691614,0.22938653537806378
67,schooner,dense_2,ablation_impact,pwcca,0.28514728492760727,0.28439754731945527
68,schooner,dense_2,ablation_impact,mean_sq_cca_corr,-0.28514728492760727,0.28439754731945527
69,schooner,dense_2,ablation_impact,mean_cca_corr,-0.28514728492760727,0.28439754731945527
70,brain_coral,conv_1,decoding_accuracy_delta,cka,0.6294117647058822,0.008988089264446917
71,brain_coral,conv_1,decoding_accuracy_delta,procrustes,0.6411764705882352,0.007434419082533942
72,brain_coral,conv_1,decoding_accuracy_delta,pwcca,0.5058823529411764,0.045581616123940336
73,brain_coral,conv_1,decoding_accuracy_delta,mean_sq_cca_corr,-0.538235294117647,0.031493228205838324
74,brain_coral,conv_1,decoding_accuracy_delta,mean_cca_corr,-0.5470588235294118,0.028301087242108842
75,brain_coral,conv_1,ablation_impact,cka,0.4766368976100466,0.061955206051076905
76,brain_coral,conv_1,ablation_impact,procrustes,0.39497013945256204,0.13000704837021887
77,brain_coral,conv_1,ablation_impact,pwcca,0.42318229227060217,0.1024205386467251
78,brain_coral,conv_1,ablation_impact,mean_sq_cca_corr,-0.3533943352996608,0.17936111971458274
79,brain_coral,conv_1,ablation_impact,mean_cca_corr,-0.36824283678283976,0.1605024280007327
80,brain_coral,conv_2,decoding_accuracy_delta,cka,0.6323529411764706,0.008577584103099355
81,brain_coral,conv_2,decoding_accuracy_delta,procrustes,0.6058823529411764,0.012860298533367193
82,brain_coral,conv_2,decoding_accuracy_delta,pwcca,0.4764705882352941,0.062059174189226164
83,brain_coral,conv_2,decoding_accuracy_delta,mean_sq_cca_corr,-0.4764705882352941,0.062059174189226164
84,brain_coral,conv_2,decoding_accuracy_delta,mean_cca_corr,-0.4764705882352941,0.062059174189226164
85,brain_coral,conv_2,ablation_impact,cka,0.3929349150521782,0.13217673162069704
86,brain_coral,conv_2,ablation_impact,procrustes,0.31830774126319866,0.22955137506032794
87,brain_coral,conv_2,ablation_impact,pwcca,0.23911155683407742,0.3724467204921932
88,brain_coral,conv_2,ablation_impact,mean_sq_cca_corr,-0.23911155683407742,0.3724467204921932
89,brain_coral,conv_2,ablation_impact,mean_cca_corr,-0.23911155683407742,0.3724467204921932
90,brain_coral,conv_3,decoding_accuracy_delta,cka,0.4441176470588235,0.08482274417741585
91,brain_coral,conv_3,decoding_accuracy_delta,procrustes,0.3852941176470588,0.1405441773736763
92,brain_coral,conv_3,decoding_accuracy_delta,pwcca,0.19411764705882353,0.47128972836210736
93,brain_coral,conv_3,decoding_accuracy_delta,mean_sq_cca_corr,-0.24705882352941175,0.35627504151257705
94,brain_coral,conv_3,decoding_accuracy_delta,mean_cca_corr,-0.24705882352941175,0.35627504151257705
95,brain_coral,conv_3,ablation_impact,cka,-0.187298761938298,0.48730097429811714
96,brain_coral,conv_3,ablation_impact,procrustes,-0.10638569678095326,0.6949549882965682
97,brain_coral,conv_3,ablation_impact,pwcca,-0.4195492267417875,0.10571809719839442
98,brain_coral,conv_3,ablation_impact,mean_sq_cca_corr,0.48098322065754917,0.05928319399154789
99,brain_coral,conv_3,ablation_impact,mean_cca_corr,0.48098322065754917,0.05928319399154789
100,brain_coral,conv_4,decoding_accuracy_delta,cka,0.6735294117647058,0.0042327392484605075
101,brain_coral,conv_4,decoding_accuracy_delta,procrustes,0.6323529411764706,0.008577584103099355
102,brain_coral,conv_4,decoding_accuracy_delta,pwcca,0.55,0.027293972709730593
103,brain_coral,conv_4,decoding_accuracy_delta,mean_sq_cca_corr,-0.5176470588235293,0.04000179295956069
104,brain_coral,conv_4,decoding_accuracy_delta,mean_cca_corr,-0.5176470588235293,0.04000179295956069
105,brain_coral,conv_4,ablation_impact,cka,0.15777146341509152,0.5595108217919037
106,brain_coral,conv_4,ablation_impact,procrustes,0.20024839587300078,0.4571178822450971
107,brain_coral,conv_4,ablation_impact,pwcca,-0.17749289634197796,0.5107736755070686
108,brain_coral,conv_4,ablation_impact,mean_sq_cca_corr,0.24120829502884183,0.36814146907743095
109,brain_coral,conv_4,ablation_impact,mean_cca_corr,0.24120829502884183,0.36814146907743095
110,brain_coral,conv_5,decoding_accuracy_delta,cka,0.6735294117647058,0.0042327392484605075
