,class,layer,correlation,pvalue
0,schooner,features.1,-0.3970588235294118,0.1278060090882619
1,schooner,features.4,-0.2323529411764706,0.38651134990798475
2,schooner,features.7,-0.09117647058823529,0.7370049501736589
3,schooner,features.9,-0.1764705882352941,0.5132505967364668
4,schooner,features.11,0.13529411764705881,0.6173674089706418
5,schooner,classifier.2,0.4058823529411764,0.11879168453237476
6,schooner,classifier.5,0.2823529411764706,0.2893498290632739
7,brain_coral,features.1,0.11470588235294117,0.672291046599723
8,brain_coral,features.4,-0.19705882352941176,0.46446421122573867
9,brain_coral,features.7,-0.3294117647058824,0.2128014262162131
10,brain_coral,features.9,-0.21764705882352942,0.41808684161130294
11,brain_coral,features.11,-0.0411764705882353,0.8796536149318311
12,brain_coral,classifier.2,0.07058823529411765,0.795039302337628
13,brain_coral,classifier.5,0.01764705882352941,0.9482801500547112
14,junco_bird,features.1,-0.5088235294117647,0.04413521823498383
15,junco_bird,features.4,-0.3735294117647059,0.15412246989684827
16,junco_bird,features.7,-0.06470588235294117,0.8118214513105935
17,junco_bird,features.9,-0.14411764705882352,0.5943782881736932
18,junco_bird,features.11,-0.12352941176470587,0.6485420669723405
19,junco_bird,classifier.2,0.37058823529411766,0.15765046473782054
20,junco_bird,classifier.5,-0.014705882352941175,0.956891924031642
21,snail,features.1,0.0411764705882353,0.8796536149318311
22,snail,features.4,-0.0588235294117647,0.8286807500332258
23,snail,features.7,-0.22647058823529412,0.3989829266412891
24,snail,features.9,-0.09705882352941177,0.7206513082372035
25,snail,features.11,-0.11470588235294117,0.672291046599723
26,snail,classifier.2,0.16764705882352943,0.5348568245819433
27,snail,classifier.5,0.15882352941176472,0.5568612810855389
28,grey_whale,features.1,0.5088235294117647,0.04413521823498383
29,grey_whale,features.4,,
30,grey_whale,features.7,-0.3588235294117647,0.17230386289263244
31,grey_whale,features.9,-0.1647058823529412,0.5421481352010777
32,grey_whale,features.11,-0.011764705882352941,0.9655081698956276
33,grey_whale,classifier.2,0.047058823529411764,0.8626036946668731
34,grey_whale,classifier.5,0.023529411764705882,0.931073583667659
35,siberian_husky,features.1,0.044117647058823525,0.8711220048065985
36,siberian_husky,features.4,,
37,siberian_husky,features.7,-0.2735294117647059,0.3053231563074052
38,siberian_husky,features.9,-0.1323529411764706,0.6251064291516133
39,siberian_husky,features.11,0.3941176470588235,0.13091285429899105
40,siberian_husky,classifier.2,0.19117647058823528,0.47816401281702825
41,siberian_husky,classifier.5,0.02941176470588235,0.9138955872505001
42,electric_fan,features.1,-0.5911764705882353,0.01587557955564148
43,electric_fan,features.4,,
44,electric_fan,features.7,-0.2588235294117647,0.3330723066336081
45,electric_fan,features.9,0.0,1.0
46,electric_fan,features.11,0.19411764705882353,0.47128972836210736
47,electric_fan,classifier.2,0.1764705882352941,0.5132505967364668
48,electric_fan,classifier.5,0.15294117647058825,0.5717446192454616
49,bookcase,features.1,-0.3,0.25893645256249886
50,bookcase,features.4,,
51,bookcase,features.7,-0.03529411764705882,0.8967532476935333
52,bookcase,features.9,0.01764705882352941,0.9482801500547112
53,bookcase,features.11,0.21176470588235297,0.431083247239221
54,bookcase,classifier.2,0.023529411764705882,0.931073583667659
55,bookcase,classifier.5,0.2588235294117647,0.3330723066336081
