,class,layer,correlation,pvalue
0,schooner,features.1,-0.4382352941176471,0.08953003199187995
1,schooner,features.4,-0.055882352941176466,0.8371372217954723
2,schooner,features.7,-0.24724068503620925,0.3559096492305297
3,schooner,features.9,-0.36470588235294116,0.16486839724475402
4,schooner,features.11,-0.18235294117647058,0.49907485724580003
5,schooner,classifier.2,0.02058823529411765,0.9396737397890448
6,schooner,classifier.5,0.3529411764705882,0.17995865788498183
7,brain_coral,features.1,0.03823529411764706,0.8881976539853073
8,brain_coral,features.4,0.05294117647058824,0.8456104411493658
9,brain_coral,features.7,-0.5029411764705883,0.047063140467273036
10,brain_coral,features.9,-0.36470588235294116,0.16486839724475402
11,brain_coral,features.11,-0.2823529411764706,0.2893498290632739
12,brain_coral,classifier.2,-0.36176470588235293,0.16855882250388438
13,brain_coral,classifier.5,0.07941176470588236,0.770025319039825
14,junco_bird,features.1,0.17941176470588235,0.5061395399904385
15,junco_bird,features.4,0.21470588235294116,0.4245592336201027
16,junco_bird,features.7,-0.2029411764705882,0.45096124172270946
17,junco_bird,features.9,-0.22352941176470587,0.40529834728275893
18,junco_bird,features.11,-0.4147058823529412,0.11022940391770164
19,junco_bird,classifier.2,-0.07352941176470588,0.7866792491258565
20,junco_bird,classifier.5,-0.07941176470588236,0.770025319039825
21,snail,features.1,0.03823529411764706,0.8881976539853073
22,snail,features.4,-0.08529411764705883,0.7534650694747833
23,snail,features.7,-0.2352941176470588,0.38035580118865675
24,snail,features.9,-0.31764705882352945,0.23057346362184541
25,snail,features.11,-0.21176470588235297,0.431083247239221
26,snail,classifier.2,-0.0029411764705882353,0.9913748045563624
27,snail,classifier.5,0.17352941176470588,0.5204075144487408
28,grey_whale,features.1,0.0029411764705882353,0.9913748045563624
29,grey_whale,features.4,,
30,grey_whale,features.7,-0.44117647058823534,0.08715363626051087
31,grey_whale,features.9,-0.44705882352941173,0.0825369233953715
32,grey_whale,features.11,-0.2529411764705882,0.34456303133749866
33,grey_whale,classifier.2,-0.2529411764705882,0.34456303133749866
34,grey_whale,classifier.5,-0.008823529411764706,0.9741279946623942
35,siberian_husky,features.1,-0.15294117647058825,0.5717446192454616
36,siberian_husky,features.4,,
37,siberian_husky,features.7,-0.24705882352941175,0.35627504151257705
38,siberian_husky,features.9,-0.3529411764705882,0.17995865788498183
39,siberian_husky,features.11,0.07058823529411765,0.795039302337628
40,siberian_husky,classifier.2,0.02647058823529412,0.9224805705017287
