,class,layer,correlation,pvalue
0,fountain_pen,Conv1,0.8697574098595219,1.1998127167586483e-05
1,fountain_pen,bn_Conv1,0.2016188919640516,0.4539792236839837
2,fountain_pen,expanded_conv_depthwise,0.7888155189250486,0.0002814840172900057
3,fountain_pen,expanded_conv_depthwise_BN,0.9536426422825215,1.0909901192756712e-08
4,fountain_pen,expanded_conv_project,0.36176470588235293,0.16855882250388438
5,fountain_pen,expanded_conv_project_BN,0.18823529411764706,0.4850866091454682
6,fountain_pen,block_1_expand,0.41648282062647163,0.10855889816874535
7,fountain_pen,block_1_expand_BN,-0.611764705882353,0.011788405053115212
8,fountain_pen,block_1_depthwise,0.0823529411764706,0.761733078752474
9,fountain_pen,block_1_depthwise_BN,-0.8117647058823528,0.00013432237477471032
10,fountain_pen,block_1_project,0.21764705882352942,0.41808684161130294
11,fountain_pen,block_1_project_BN,0.3911764705882353,0.1340712861972552
12,fountain_pen,block_2_expand,0.09565859837710478,0.7245341106311589
13,fountain_pen,block_2_expand_BN,-0.7147058823529412,0.0018627410999474353
14,fountain_pen,block_2_depthwise,-0.40294117647058825,0.121745762952543
15,fountain_pen,block_2_depthwise_BN,-0.6911764705882353,0.0030247187950434044
16,fountain_pen,block_2_project,0.44117647058823534,0.08715363626051081
17,fountain_pen,block_2_project_BN,0.47717282971914476,0.06162103830730945
18,fountain_pen,block_3_expand,-0.38235294117647056,0.14385924954389048
19,fountain_pen,block_3_expand_BN,-0.5294117647058824,0.0349520067895181
20,fountain_pen,block_3_depthwise,0.6294117647058822,0.008988089264446917
21,fountain_pen,block_3_depthwise_BN,-0.6961002620364701,0.0027429004151437006
22,fountain_pen,block_3_project,0.31176470588235294,0.23980004767411284
23,fountain_pen,block_3_project_BN,0.10448862284268369,0.7001574442467614
24,fountain_pen,block_4_expand,-0.05154644765484589,0.849634115197502
25,fountain_pen,block_4_expand_BN,-0.29874916108541955,0.26102468237833837
26,fountain_pen,block_4_depthwise,-0.2411764705882353,0.36820660804263405
27,fountain_pen,block_4_depthwise_BN,,
28,fountain_pen,block_4_project,,
29,fountain_pen,block_4_project_BN,,
30,fountain_pen,block_5_expand,,
31,fountain_pen,block_5_expand_BN,,
32,fountain_pen,block_5_depthwise,,
33,fountain_pen,block_5_depthwise_BN,,
34,fountain_pen,block_5_project,,
35,fountain_pen,block_5_project_BN,,
36,fountain_pen,block_6_expand,,
37,fountain_pen,block_6_expand_BN,,
38,fountain_pen,block_6_depthwise,,
39,fountain_pen,block_6_depthwise_BN,,
40,fountain_pen,block_6_project,,
41,fountain_pen,block_6_project_BN,,
42,fountain_pen,block_7_expand,,
43,fountain_pen,block_7_expand_BN,,
44,fountain_pen,block_7_depthwise,,
45,fountain_pen,block_7_depthwise_BN,,
46,fountain_pen,block_7_project,,
47,fountain_pen,block_7_project_BN,,
48,fountain_pen,block_8_expand,,
49,fountain_pen,block_8_expand_BN,,
50,fountain_pen,block_8_depthwise,,
51,fountain_pen,block_8_depthwise_BN,,
52,fountain_pen,block_8_project,,
53,fountain_pen,block_8_project_BN,,
54,fountain_pen,block_9_expand,,
55,fountain_pen,block_9_expand_BN,,
56,fountain_pen,block_9_depthwise,,
57,fountain_pen,block_9_depthwise_BN,,
58,fountain_pen,block_9_project,,
59,fountain_pen,block_9_project_BN,,
60,fountain_pen,block_10_expand,,
61,fountain_pen,block_10_expand_BN,,
62,fountain_pen,block_10_depthwise,,
63,fountain_pen,block_10_depthwise_BN,,
64,fountain_pen,block_10_project,,
65,fountain_pen,block_10_project_BN,,
66,fountain_pen,block_11_expand,,
67,fountain_pen,block_11_expand_BN,,
68,fountain_pen,block_11_depthwise,,
69,fountain_pen,block_11_depthwise_BN,,
