,class,layer,correlation,pvalue
0,fountain_pen,Conv1,0.8735294117647058,9.869651666147378e-06
1,fountain_pen,bn_Conv1,0.9,2.0510898633789e-06
2,fountain_pen,expanded_conv_depthwise,0.75,0.0008197640272555872
3,fountain_pen,expanded_conv_depthwise_BN,0.6088235294117647,0.012315203198246456
4,fountain_pen,expanded_conv_project,0.3558823529411765,0.1761037380915931
5,fountain_pen,expanded_conv_project_BN,0.6352941176470589,0.00818206461633401
6,fountain_pen,block_1_expand,0.7411764705882353,0.0010184695495736751
7,fountain_pen,block_1_expand_BN,0.7000000000000001,0.002535094604431932
8,fountain_pen,block_1_depthwise,0.5088235294117647,0.04413521823498383
9,fountain_pen,block_1_depthwise_BN,0.18823529411764706,0.4850866091454682
10,fountain_pen,block_1_project,0.2352941176470588,0.38035580118865675
11,fountain_pen,block_1_project_BN,0.2029411764705882,0.45096124172270946
12,fountain_pen,block_2_expand,0.6911764705882353,0.0030247187950434044
13,fountain_pen,block_2_expand_BN,0.3294117647058824,0.2128014262162131
14,fountain_pen,block_2_depthwise,0.6176470588235293,0.010787984601948835
15,fountain_pen,block_2_depthwise_BN,0.22647058823529412,0.3989829266412891
16,fountain_pen,block_2_project,0.29705882352941176,0.2638630146135225
17,fountain_pen,block_2_project_BN,0.6735294117647058,0.0042327392484605075
18,fountain_pen,block_3_expand,0.7470588235294118,0.0008821069929846318
19,fountain_pen,block_3_expand_BN,0.5529411764705882,0.026314499870666502
20,fountain_pen,block_3_depthwise,0.3970588235294118,0.1278060090882619
21,fountain_pen,block_3_depthwise_BN,-0.02058823529411765,0.9396737397890448
22,fountain_pen,block_3_project,0.4176470588235294,0.1074740793993006
23,fountain_pen,block_3_project_BN,0.4058823529411764,0.11879168453237476
24,fountain_pen,block_4_expand,0.5088235294117647,0.04413521823498383
25,fountain_pen,block_4_expand_BN,0.6,0.014007122329599993
26,fountain_pen,block_4_depthwise,0.7058823529411764,0.002245900601051328
27,fountain_pen,block_4_depthwise_BN,,
28,fountain_pen,block_4_project,,
29,fountain_pen,block_4_project_BN,,
30,fountain_pen,block_5_expand,,
31,fountain_pen,block_5_expand_BN,,
32,fountain_pen,block_5_depthwise,,
33,fountain_pen,block_5_depthwise_BN,,
34,fountain_pen,block_5_project,,
35,fountain_pen,block_5_project_BN,,
36,fountain_pen,block_6_expand,,
37,fountain_pen,block_6_expand_BN,,
38,fountain_pen,block_6_depthwise,,
39,fountain_pen,block_6_depthwise_BN,,
40,fountain_pen,block_6_project,,
41,fountain_pen,block_6_project_BN,,
42,fountain_pen,block_7_expand,,
43,fountain_pen,block_7_expand_BN,,
44,fountain_pen,block_7_depthwise,,
45,fountain_pen,block_7_depthwise_BN,,
46,fountain_pen,block_7_project,,
47,fountain_pen,block_7_project_BN,,
48,fountain_pen,block_8_expand,,
49,fountain_pen,block_8_expand_BN,,
50,fountain_pen,block_8_depthwise,,
51,fountain_pen,block_8_depthwise_BN,,
52,fountain_pen,block_8_project,,
53,fountain_pen,block_8_project_BN,,
54,fountain_pen,block_9_expand,,
55,fountain_pen,block_9_expand_BN,,
56,fountain_pen,block_9_depthwise,,
57,fountain_pen,block_9_depthwise_BN,,
58,fountain_pen,block_9_project,,
59,fountain_pen,block_9_project_BN,,
60,fountain_pen,block_10_expand,,
61,fountain_pen,block_10_expand_BN,,
62,fountain_pen,block_10_depthwise,,
63,fountain_pen,block_10_depthwise_BN,,
64,fountain_pen,block_10_project,,
65,fountain_pen,block_10_project_BN,,
66,fountain_pen,block_11_expand,,
67,fountain_pen,block_11_expand_BN,,
68,fountain_pen,block_11_depthwise,,
69,fountain_pen,block_11_depthwise_BN,,
70,fountain_pen,block_11_project,,
71,fountain_pen,block_11_project_BN,,
72,fountain_pen,block_12_expand,,
73,fountain_pen,block_12_expand_BN,,
74,fountain_pen,block_12_depthwise,,
75,fountain_pen,block_12_depthwise_BN,,
76,fountain_pen,block_12_project,,
77,fountain_pen,block_12_project_BN,,
78,fountain_pen,block_13_expand,,
79,fountain_pen,block_13_expand_BN,,
80,fountain_pen,block_13_depthwise,,
81,fountain_pen,block_13_depthwise_BN,,
82,fountain_pen,block_13_project,,
83,fountain_pen,block_13_project_BN,,
84,fountain_pen,block_14_expand,,
85,fountain_pen,block_14_expand_BN,,
86,fountain_pen,block_14_depthwise,,
87,fountain_pen,block_14_depthwise_BN,,
88,fountain_pen,block_14_project,,
89,fountain_pen,block_14_project_BN,,
90,fountain_pen,block_15_expand,,
91,fountain_pen,block_15_expand_BN,,
92,fountain_pen,block_15_depthwise,,
93,fountain_pen,block_15_depthwise_BN,,
94,fountain_pen,block_15_project,,
95,fountain_pen,block_15_project_BN,,
96,fountain_pen,block_16_expand,,
97,fountain_pen,block_16_expand_BN,,
98,fountain_pen,block_16_depthwise,,
99,fountain_pen,block_16_depthwise_BN,,
100,fountain_pen,block_16_project,,
101,fountain_pen,block_16_project_BN,,
102,fountain_pen,Conv_1,,
103,fountain_pen,Conv_1_bn,,
104,siberian_husky,Conv1,0.9235294117647058,3.3439000100406954e-07
105,siberian_husky,bn_Conv1,0.8264705882352942,7.92354858224969e-05
106,siberian_husky,expanded_conv_depthwise,0.788235294117647,0.0002864656823918493
107,siberian_husky,expanded_conv_depthwise_BN,0.6941176470588235,0.002853705903456908
108,siberian_husky,expanded_conv_project,0.15,0.5792486306642535
109,siberian_husky,expanded_conv_project_BN,0.7352941176470589,0.0011716155350991778
110,siberian_husky,block_1_expand,0.75,0.0008197640272555872
111,siberian_husky,block_1_expand_BN,0.6676470588235294,0.004711981947989975
112,siberian_husky,block_1_depthwise,0.5088235294117647,0.04413521823498383
113,siberian_husky,block_1_depthwise_BN,0.28823529411764703,0.27898445973708325
114,siberian_husky,block_1_project,0.24705882352941175,0.35627504151257705
115,siberian_husky,block_1_project_BN,0.17058823529411765,0.527609768861268
116,siberian_husky,block_2_expand,0.7529411764705882,0.0007610810731946071
117,siberian_husky,block_2_expand_BN,0.3558823529411765,0.1761037380915931
118,siberian_husky,block_2_depthwise,0.5735294117647058,0.02019103804652309
119,siberian_husky,block_2_depthwise_BN,0.17941176470588235,0.5061395399904385
120,siberian_husky,block_2_project,0.09411764705882353,0.7288144270239805
121,siberian_husky,block_2_project_BN,0.7941176470588236,0.0002391909276256312
122,siberian_husky,block_3_expand,0.8029411764705883,0.00018051679467984317
123,siberian_husky,block_3_expand_BN,0.4911764705882353,0.053350435677943356
124,siberian_husky,block_3_depthwise,0.3764705882352941,0.1506481152876309
125,siberian_husky,block_3_depthwise_BN,-0.0823529411764706,0.761733078752474
126,siberian_husky,block_3_project,0.7323529411764707,0.0012549581661522623
127,siberian_husky,block_3_project_BN,0.6647058823529411,0.004967385937481994
