,class,layer,correlation,pvalue
0,schooner,layer3.0,0.9323529411764706,1.4517544390481194e-07
1,schooner,layer3.1,0.8941176470588235,3.0113099296374175e-06
2,schooner,layer3.2,0.9176470588235294,5.528654958744458e-07
3,schooner,layer3.3,0.911764705882353,8.818985741384042e-07
4,schooner,layer3.4,0.9470588235294116,2.715731165956679e-08
5,schooner,layer3.5,0.9911764705882352,1.090829151044044e-13
6,schooner,layer4.0,0.8852941176470588,5.147147576842463e-06
7,schooner,layer4.1,0.7411764705882353,0.0010184695495736751
8,schooner,layer4.2,0.6470588235294118,0.006742077007179868
9,brain_coral,layer3.0,0.9676470588235294,9.132894807195552e-10
10,brain_coral,layer3.1,0.8676470588235294,1.3348681299166978e-05
11,brain_coral,layer3.2,0.9411764705882352,5.588937633072717e-08
12,brain_coral,layer3.3,0.9382352941176471,7.802219772943016e-08
13,brain_coral,layer3.4,0.961764705882353,2.895080134041856e-09
14,brain_coral,layer3.5,0.9176470588235294,5.528654958744458e-07
15,brain_coral,layer4.0,0.888235294117647,4.326250867975576e-06
16,brain_coral,layer4.1,0.8941176470588235,3.0113099296374175e-06
17,brain_coral,layer4.2,0.7617647058823529,0.000605342838070589
18,junco_bird,layer3.0,0.8579840439054168,2.128179568683992e-05
19,junco_bird,layer3.1,0.8794117647058824,7.187273041770843e-06
20,junco_bird,layer3.2,0.8382352941176471,5.010342100683478e-05
21,junco_bird,layer3.3,0.9176470588235294,5.528654958744458e-07
22,junco_bird,layer3.4,0.9205882352941176,4.3204104274523115e-07
23,junco_bird,layer3.5,0.8735294117647058,9.869651666147378e-06
24,junco_bird,layer4.0,0.8323529411764706,6.328124573232542e-05
25,junco_bird,layer4.1,0.8117647058823528,0.00013432237477471032
26,junco_bird,layer4.2,0.823529411764706,8.839139363842143e-05
27,snail,layer3.0,0.7647058823529411,0.0005596762943567445
28,snail,layer3.1,0.6794117647058824,0.003793432669159743
29,snail,layer3.2,0.6588235294117648,0.0055114223363436875
30,snail,layer3.3,0.7270053476659963,0.0014188745284739865
31,snail,layer3.4,0.7823529411764706,0.00034122076396497244
32,snail,layer3.5,0.6794117647058824,0.003793432669159743
33,snail,layer4.0,0.7176470588235294,0.0017475350604702381
34,snail,layer4.1,0.6941176470588235,0.002853705903456908
35,snail,layer4.2,0.5941176470588235,0.015232400876328003
36,grey_whale,layer3.0,0.9529411764705882,1.2096579348829016e-08
37,grey_whale,layer3.1,0.8705882352941177,1.1498934802741619e-05
38,grey_whale,layer3.2,0.8647058823529412,1.544234049652656e-05
39,grey_whale,layer3.3,0.8117647058823528,0.00013432237477471032
40,grey_whale,layer3.4,0.8970588235294116,2.4923759658858677e-06
41,grey_whale,layer3.5,0.9088235294117648,1.1005852200187752e-06
42,grey_whale,layer4.0,0.8382352941176471,5.010342100683478e-05
43,grey_whale,layer4.1,0.8058823529411765,0.00016384666473672616
44,grey_whale,layer4.2,0.5852941176470587,0.017225286616094855
45,siberian_husky,layer3.0,0.8441176470588234,3.930242737399878e-05
46,siberian_husky,layer3.1,0.788235294117647,0.0002864656823918493
47,siberian_husky,layer3.2,0.7794117647058825,0.00037168023647875503
48,siberian_husky,layer3.3,0.8117647058823528,0.00013432237477471032
49,siberian_husky,layer3.4,0.9088235294117648,1.1005852200187752e-06
50,siberian_husky,layer3.5,0.9588235294117649,4.825540771378695e-09
51,siberian_husky,layer4.0,0.8676470588235294,1.3348681299166978e-05
52,siberian_husky,layer4.1,0.7058823529411764,0.002245900601051328
53,siberian_husky,layer4.2,0.4944813700724185,0.05152482707893516
54,electric_fan,layer3.0,0.7705882352941176,0.0004768223953633258
55,electric_fan,layer3.1,0.8852941176470588,5.147147576842463e-06
56,electric_fan,layer3.2,0.8852941176470588,5.147147576842463e-06
57,electric_fan,layer3.3,0.8441176470588234,3.930242737399878e-05
58,electric_fan,layer3.4,0.8470588235294119,3.4680464849150824e-05
59,electric_fan,layer3.5,0.888235294117647,4.326250867975576e-06
60,electric_fan,layer4.0,0.8588235294117647,2.0464395736214237e-05
61,electric_fan,layer4.1,0.8352941176470589,5.637132062814415e-05
62,electric_fan,layer4.2,0.7764705882352941,0.0004043508405454705
63,bookcase,layer3.0,0.9588235294117649,4.825540771378695e-09
64,bookcase,layer3.1,0.9470588235294116,2.715731165956679e-08
65,bookcase,layer3.2,0.8941176470588235,3.0113099296374175e-06
66,bookcase,layer3.3,0.9411764705882352,5.588937633072717e-08
67,bookcase,layer3.4,0.9323529411764706,1.4517544390481194e-07
68,bookcase,layer3.5,0.9382352941176471,7.802219772943016e-08
69,bookcase,layer4.0,0.9235294117647058,3.3439000100406954e-07
70,bookcase,layer4.1,0.8256072875316275,8.183684554804908e-05
71,bookcase,layer4.2,0.6754968716167861,0.00408148600450748
72,fountain_pen,layer3.0,0.7647058823529411,0.0005596762943567445
73,fountain_pen,layer3.1,0.7676470588235293,0.0005168835242959224
74,fountain_pen,layer3.2,0.8058823529411765,0.00016384666473672616
75,fountain_pen,layer3.3,0.8058823529411765,0.00016384666473672616
76,fountain_pen,layer3.4,0.8294117647058824,7.088454064639912e-05
77,fountain_pen,layer3.5,0.7735294117647058,0.0004393556517117217
78,fountain_pen,layer4.0,0.7999999999999999,0.00019857097280000043
79,fountain_pen,layer4.1,0.8058823529411765,0.00016384666473672616
80,fountain_pen,layer4.2,0.75,0.0008197640272555872
81,toaster,layer3.0,0.7970588235294117,0.00021809806990574765
82,toaster,layer3.1,0.8558823529411764,2.3449156927289165e-05
83,toaster,layer3.2,0.8411764705882352,4.442904294313836e-05
84,toaster,layer3.3,0.8176470588235294,0.00010936308081986549
85,toaster,layer3.4,0.7823529411764706,0.00034122076396497244
86,toaster,layer3.5,0.7529411764705882,0.0007610810731946071
87,toaster,layer4.0,0.7411764705882353,0.0010184695495736751
88,toaster,layer4.1,0.8176470588235294,0.00010936308081986549
89,toaster,layer4.2,0.6911764705882353,0.0030247187950434044
