,class,layer,correlation,pvalue
0,schooner,encoder.layers.encoder_layer_0,0.6352941176470589,0.00818206461633401
1,schooner,encoder.layers.encoder_layer_1,0.411764705882353,0.11303386621436724
2,schooner,encoder.layers.encoder_layer_2,0.29705882352941176,0.2638630146135225
3,schooner,encoder.layers.encoder_layer_3,0.33529411764705885,0.20425458084551512
4,schooner,encoder.layers.encoder_layer_4,0.05294117647058824,0.8456104411493658
5,schooner,encoder.layers.encoder_layer_5,0.6705882352941177,0.004467208697738123
6,schooner,encoder.layers.encoder_layer_6,-0.1764705882352941,0.5132505967364668
7,schooner,encoder.layers.encoder_layer_7,-0.22941176470588234,0.39272049088161975
8,schooner,encoder.layers.encoder_layer_8,-0.047058823529411764,0.8626036946668731
9,schooner,encoder.layers.encoder_layer_9,-0.7264705882352941,0.0014361826350785247
10,schooner,encoder.layers.encoder_layer_10,-0.2733719345239721,0.3056128616894024
11,schooner,encoder.layers.encoder_layer_11,,
12,brain_coral,encoder.layers.encoder_layer_0,0.4264705882352941,0.09949911193753966
13,brain_coral,encoder.layers.encoder_layer_1,-0.5117647058823529,0.04272344816333178
14,brain_coral,encoder.layers.encoder_layer_2,-0.5970588235294118,0.014609731954981046
15,brain_coral,encoder.layers.encoder_layer_3,-0.7029411764705883,0.0023869526693009327
16,brain_coral,encoder.layers.encoder_layer_4,-0.29411764705882354,0.268846554622893
17,brain_coral,encoder.layers.encoder_layer_5,-0.01764705882352941,0.9482801500547112
18,brain_coral,encoder.layers.encoder_layer_6,-0.3558823529411765,0.1761037380915931
19,brain_coral,encoder.layers.encoder_layer_7,-0.17058823529411765,0.527609768861268
20,brain_coral,encoder.layers.encoder_layer_8,0.11470588235294117,0.672291046599723
21,brain_coral,encoder.layers.encoder_layer_9,-0.5058823529411764,0.045581616123940336
22,brain_coral,encoder.layers.encoder_layer_10,0.43136502137287047,0.09526072131707465
23,brain_coral,encoder.layers.encoder_layer_11,,
24,junco_bird,encoder.layers.encoder_layer_0,0.43529411764705883,0.09195235850572929
25,junco_bird,encoder.layers.encoder_layer_1,0.10294117647058824,0.7044103818167706
26,junco_bird,encoder.layers.encoder_layer_2,-0.19705882352941176,0.46446421122573867
27,junco_bird,encoder.layers.encoder_layer_3,-0.3764705882352941,0.1506481152876309
28,junco_bird,encoder.layers.encoder_layer_4,-0.488235294117647,0.05501502977813759
29,junco_bird,encoder.layers.encoder_layer_5,0.5970588235294118,0.014609731954981046
30,junco_bird,encoder.layers.encoder_layer_6,0.032352941176470584,0.9053195187918449
31,junco_bird,encoder.layers.encoder_layer_7,0.0823529411764706,0.761733078752474
32,junco_bird,encoder.layers.encoder_layer_8,-0.09411764705882353,0.7288144270239805
33,junco_bird,encoder.layers.encoder_layer_9,,
34,junco_bird,encoder.layers.encoder_layer_10,,
35,junco_bird,encoder.layers.encoder_layer_11,,
36,snail,encoder.layers.encoder_layer_0,-0.1411764705882353,0.6020026838819791
37,snail,encoder.layers.encoder_layer_1,-0.011764705882352941,0.9655081698956276
38,snail,encoder.layers.encoder_layer_2,0.823529411764706,8.839139363842143e-05
39,snail,encoder.layers.encoder_layer_3,0.37058823529411766,0.15765046473782054
40,snail,encoder.layers.encoder_layer_4,0.2529411764705882,0.34456303133749866
41,snail,encoder.layers.encoder_layer_5,-0.03823529411764706,0.8881976539853073
42,snail,encoder.layers.encoder_layer_6,0.2058823529411765,0.4442846410521438
43,snail,encoder.layers.encoder_layer_7,-0.18235294117647058,0.49907485724580003
44,snail,encoder.layers.encoder_layer_8,-0.22647058823529412,0.3989829266412891
45,snail,encoder.layers.encoder_layer_9,-0.55,0.027293972709730593
46,snail,encoder.layers.encoder_layer_10,0.31176470588235294,0.23980004767411284
47,snail,encoder.layers.encoder_layer_11,,
48,grey_whale,encoder.layers.encoder_layer_0,0.6382352941176471,0.007801138631008009
49,grey_whale,encoder.layers.encoder_layer_1,-0.411764705882353,0.11303386621436724
50,grey_whale,encoder.layers.encoder_layer_2,0.28823529411764703,0.27898445973708325
51,grey_whale,encoder.layers.encoder_layer_3,0.17352941176470588,0.5204075144487408
52,grey_whale,encoder.layers.encoder_layer_4,-0.07352941176470588,0.7866792491258565
53,grey_whale,encoder.layers.encoder_layer_5,0.5,0.04858028888702393
54,grey_whale,encoder.layers.encoder_layer_6,-0.09411764705882353,0.7288144270239805
55,grey_whale,encoder.layers.encoder_layer_7,0.5911764705882353,0.01587557955564148
56,grey_whale,encoder.layers.encoder_layer_8,-0.023529411764705882,0.931073583667659
57,grey_whale,encoder.layers.encoder_layer_9,-0.5205882352941177,0.03869090714064999
58,grey_whale,encoder.layers.encoder_layer_10,0.662872811930827,0.005132089256436865
59,grey_whale,encoder.layers.encoder_layer_11,,
60,siberian_husky,encoder.layers.encoder_layer_0,-0.19999999999999998,0.45768790507519985
61,siberian_husky,encoder.layers.encoder_layer_1,-0.538235294117647,0.031493228205838324
62,siberian_husky,encoder.layers.encoder_layer_2,0.4382352941176471,0.08953003199187995
63,siberian_husky,encoder.layers.encoder_layer_3,0.31764705882352945,0.23057346362184541
64,siberian_husky,encoder.layers.encoder_layer_4,-0.3911764705882353,0.1340712861972552
65,siberian_husky,encoder.layers.encoder_layer_5,0.39999999999999997,0.12475042359840012
66,siberian_husky,encoder.layers.encoder_layer_6,0.3235294117647059,0.2215741250012429
67,siberian_husky,encoder.layers.encoder_layer_7,-0.65,0.006415706521175286
68,siberian_husky,encoder.layers.encoder_layer_8,0.03529411764705882,0.8967532476935333
69,siberian_husky,encoder.layers.encoder_layer_9,-0.5503054919349629,0.027190959569006405
70,siberian_husky,encoder.layers.encoder_layer_10,0.11328823680740416,0.6761346440401512
71,siberian_husky,encoder.layers.encoder_layer_11,,
72,electric_fan,encoder.layers.encoder_layer_0,-0.10294117647058824,0.7044103818167706
73,electric_fan,encoder.layers.encoder_layer_1,-0.4617647058823529,0.07176841584053797
74,electric_fan,encoder.layers.encoder_layer_2,0.34705882352941175,0.18783442010629964
75,electric_fan,encoder.layers.encoder_layer_3,0.2529411764705882,0.34456303133749866
76,electric_fan,encoder.layers.encoder_layer_4,-0.2058823529411765,0.4442846410521438
77,electric_fan,encoder.layers.encoder_layer_5,0.10588235294117648,0.6963341050381157
78,electric_fan,encoder.layers.encoder_layer_6,0.15882352941176472,0.5568612810855389
79,electric_fan,encoder.layers.encoder_layer_7,-0.7558823529411764,0.0007058905869098943
80,electric_fan,encoder.layers.encoder_layer_8,-0.2588235294117647,0.3330723066336081
81,electric_fan,encoder.layers.encoder_layer_9,-0.45294117647058824,0.07809874141672511
82,electric_fan,encoder.layers.encoder_layer_10,-0.28424183992529306,0.285996611529222
83,electric_fan,encoder.layers.encoder_layer_11,,
84,bookcase,encoder.layers.encoder_layer_0,0.0029411764705882353,0.9913748045563624
85,bookcase,encoder.layers.encoder_layer_1,0.40294117647058825,0.121745762952543
86,bookcase,encoder.layers.encoder_layer_2,0.7911764705882354,0.0002619464480824597
87,bookcase,encoder.layers.encoder_layer_3,0.2088235294117647,0.43765851094980035
88,bookcase,encoder.layers.encoder_layer_4,-0.6823529411764706,0.0035879704117567223
89,bookcase,encoder.layers.encoder_layer_5,-0.7323529411764707,0.0012549581661522623
90,bookcase,encoder.layers.encoder_layer_6,-0.6617647058823529,0.005233753301327506
91,bookcase,encoder.layers.encoder_layer_7,-0.538235294117647,0.031493228205838324
92,bookcase,encoder.layers.encoder_layer_8,0.049999999999999996,0.8540995521297436
93,bookcase,encoder.layers.encoder_layer_9,-0.3970588235294118,0.1278060090882619
94,bookcase,encoder.layers.encoder_layer_10,-0.3532937157819935,0.17949368403029142
95,bookcase,encoder.layers.encoder_layer_11,,
96,fountain_pen,encoder.layers.encoder_layer_0,0.5117647058823529,0.04272344816333178
97,fountain_pen,encoder.layers.encoder_layer_1,0.7470588235294118,0.0008821069929846318
98,fountain_pen,encoder.layers.encoder_layer_2,0.4823529411764706,0.058458976774719576
99,fountain_pen,encoder.layers.encoder_layer_3,0.4058823529411764,0.11879168453237476
100,fountain_pen,encoder.layers.encoder_layer_4,-0.4558823529411765,0.07594549116741177
101,fountain_pen,encoder.layers.encoder_layer_5,0.7911764705882354,0.0002619464480824597
102,fountain_pen,encoder.layers.encoder_layer_6,0.26176470588235295,0.3274104118125859
103,fountain_pen,encoder.layers.encoder_layer_7,-0.2647058823529412,0.3218043958686153
104,fountain_pen,encoder.layers.encoder_layer_8,0.2207506116394726,0.4113134937932367
105,fountain_pen,encoder.layers.encoder_layer_9,-0.0588235294117647,0.8286807500332258
106,fountain_pen,encoder.layers.encoder_layer_10,0.1807541206415335,0.50290942844037
107,fountain_pen,encoder.layers.encoder_layer_11,,
108,toaster,encoder.layers.encoder_layer_0,-0.7911764705882354,0.0002619464480824597
109,toaster,encoder.layers.encoder_layer_1,-0.5176470588235293,0.04000179295956069
110,toaster,encoder.layers.encoder_layer_2,-0.4647058823529412,0.06974367557375584
111,toaster,encoder.layers.encoder_layer_3,0.13529411764705881,0.6173674089706418
112,toaster,encoder.layers.encoder_layer_4,-0.12352941176470587,0.6485420669723405
113,toaster,encoder.layers.encoder_layer_5,0.36764705882352944,0.1612323576755899
114,toaster,encoder.layers.encoder_layer_6,-0.02058823529411765,0.9396737397890448
115,toaster,encoder.layers.encoder_layer_7,-0.6294117647058822,0.008988089264446917
116,toaster,encoder.layers.encoder_layer_8,0.0,1.0
117,toaster,encoder.layers.encoder_layer_9,-0.25,0.3503914791072017
118,toaster,encoder.layers.encoder_layer_10,-0.2540645328923342,0.34235149679111787
119,toaster,encoder.layers.encoder_layer_11,,
