,class,layer,correlation,pvalue
0,schooner,encoder.layers.encoder_layer_0,0.879651081098014,7.0926994520813575e-06
1,schooner,encoder.layers.encoder_layer_1,0.9047839691293859,1.4744530212801034e-06
2,schooner,encoder.layers.encoder_layer_2,0.885934303105857,4.958119953488673e-06
3,schooner,encoder.layers.encoder_layer_3,0.8167043731868366,0.00011308030020871467
4,schooner,encoder.layers.encoder_layer_4,0.7637971162725751,0.0005734728194582663
5,schooner,encoder.layers.encoder_layer_5,0.6911764705882353,0.0030247187950434044
6,schooner,encoder.layers.encoder_layer_6,0.7058823529411764,0.002245900601051328
7,schooner,encoder.layers.encoder_layer_7,0.5882352941176471,0.016539722195378158
8,schooner,encoder.layers.encoder_layer_8,0.4871230163511028,0.055654436510311454
9,schooner,encoder.layers.encoder_layer_9,0.25459903875752504,0.3413020602524982
10,schooner,encoder.layers.encoder_layer_10,0.0588235294117647,0.8286807500332258
11,schooner,encoder.layers.encoder_layer_11,0.049999999999999996,0.8540995521297436
12,brain_coral,encoder.layers.encoder_layer_0,0.9236336351529147,3.3130627834199645e-07
13,brain_coral,encoder.layers.encoder_layer_1,0.9110671911372288,9.301048101310359e-07
14,brain_coral,encoder.layers.encoder_layer_2,0.921095157729515,4.1366951379565125e-07
15,brain_coral,encoder.layers.encoder_layer_3,0.7763175947392074,0.00040611307665558926
16,brain_coral,encoder.layers.encoder_layer_4,0.7235294117647059,0.001534481189823956
17,brain_coral,encoder.layers.encoder_layer_5,0.6176470588235293,0.010787984601948835
18,brain_coral,encoder.layers.encoder_layer_6,0.6558823529411765,0.005800736962231502
19,brain_coral,encoder.layers.encoder_layer_7,0.4147058823529412,0.11022940391770164
20,brain_coral,encoder.layers.encoder_layer_8,0.5033113945379976,0.046874705267935905
21,brain_coral,encoder.layers.encoder_layer_9,0.18823529411764706,0.4850866091454682
22,brain_coral,encoder.layers.encoder_layer_10,0.12058823529411765,0.6564245147485952
23,brain_coral,encoder.layers.encoder_layer_11,0.2323529411764706,0.38651134990798475
24,junco_bird,encoder.layers.encoder_layer_0,0.8136772500156629,0.00012573558989511545
25,junco_bird,encoder.layers.encoder_layer_1,0.9016423581254642,1.834810505605838e-06
26,junco_bird,encoder.layers.encoder_layer_2,0.9110671911372288,9.301048101310359e-07
27,junco_bird,encoder.layers.encoder_layer_3,0.8504778623035855,2.9888259196556046e-05
28,junco_bird,encoder.layers.encoder_layer_4,0.818001564616349,0.00010799177521142816
29,junco_bird,encoder.layers.encoder_layer_5,0.7058823529411764,0.002245900601051328
30,junco_bird,encoder.layers.encoder_layer_6,0.45,0.0802957365433964
31,junco_bird,encoder.layers.encoder_layer_7,0.3382352941176471,0.2000655587786896
32,junco_bird,encoder.layers.encoder_layer_8,0.3796910520198928,0.1469050501601174
33,junco_bird,encoder.layers.encoder_layer_9,0.32818257597068257,0.21461589234374495
34,junco_bird,encoder.layers.encoder_layer_10,-0.1176470588235294,0.6643410791623536
35,junco_bird,encoder.layers.encoder_layer_11,-0.01764705882352941,0.9482801500547112
36,snail,encoder.layers.encoder_layer_0,0.9173504131450716,5.665010829554613e-07
37,snail,encoder.layers.encoder_layer_1,0.914976722311947,6.862473307215235e-07
38,snail,encoder.layers.encoder_layer_2,0.9173504131450716,5.665010829554613e-07
39,snail,encoder.layers.encoder_layer_3,0.8733678590901709,9.953795444696654e-06
40,snail,encoder.layers.encoder_layer_4,0.8351262763414269,5.6747895693719305e-05
41,snail,encoder.layers.encoder_layer_5,0.6937316603397413,0.002875692746947573
42,snail,encoder.layers.encoder_layer_6,0.538235294117647,0.031493228205838324
43,snail,encoder.layers.encoder_layer_7,0.45,0.0802957365433964
44,snail,encoder.layers.encoder_layer_8,0.2029411764705882,0.45096124172270946
45,snail,encoder.layers.encoder_layer_9,0.014705882352941175,0.956891924031642
46,snail,encoder.layers.encoder_layer_10,0.09705882352941177,0.7206513082372035
47,snail,encoder.layers.encoder_layer_11,0.22352941176470587,0.40529834728275893
48,grey_whale,encoder.layers.encoder_layer_0,0.9016423581254642,1.834810505605838e-06
49,grey_whale,encoder.layers.encoder_layer_1,0.9110671911372288,9.301048101310359e-07
50,grey_whale,encoder.layers.encoder_layer_2,0.9241654749219467,3.159432169923962e-07
51,grey_whale,encoder.layers.encoder_layer_3,0.8732684692560571,1.0005861296522555e-05
52,grey_whale,encoder.layers.encoder_layer_4,0.65,0.006415706521175286
53,grey_whale,encoder.layers.encoder_layer_5,0.5970588235294118,0.014609731954981046
54,grey_whale,encoder.layers.encoder_layer_6,0.4911764705882353,0.053350435677943356
55,grey_whale,encoder.layers.encoder_layer_7,0.4382352941176471,0.08953003199187995
56,grey_whale,encoder.layers.encoder_layer_8,0.22058823529411767,0.4116664304979635
57,grey_whale,encoder.layers.encoder_layer_9,0.05003680530494711,0.8539932263898341
58,grey_whale,encoder.layers.encoder_layer_10,-0.011764705882352941,0.9655081698956276
59,grey_whale,encoder.layers.encoder_layer_11,0.0058823529411764705,0.9827505044191351
60,siberian_husky,encoder.layers.encoder_layer_0,0.8513765820627206,2.8725146404649363e-05
61,siberian_husky,encoder.layers.encoder_layer_1,0.9236336351529147,3.3130627834199645e-07
62,siberian_husky,encoder.layers.encoder_layer_2,0.9016423581254642,1.834810505605838e-06
63,siberian_husky,encoder.layers.encoder_layer_3,0.885934303105857,4.958119953488673e-06
64,siberian_husky,encoder.layers.encoder_layer_4,0.8325269160391918,6.285373793658505e-05
65,siberian_husky,encoder.layers.encoder_layer_5,0.6210450540790495,0.010241321959857878
